fitness_phase,phase_start_date,phase_end_date,total_measurement_days,total_raw_measurements,avg_weight_lb,starting_weight_lb,ending_weight_lb,avg_rolling_7_day_weight,phase_weight_change_lb
Bulk 1 - Estimated,2023-11-20,2024-08-02,249,253,165.83,156.6,175.2,165.61,18.6
Bulk 2,2025-02-01,2026-04-14,405,441,172.67,160.4,181.6,172.5,21.2
Cut 1 - Estimated,2024-08-26,2024-12-15,111,118,167.45,174.4,162.0,167.78,-12.4
Cut 2,2026-04-15,2026-06-26,71,71,175.82,182.4,171.6,176.29,-10.8
Transition / Unlabeled,2020-08-26,2025-01-31,403,418,151.68,139.0,160.8,151.57,21.8
